code	term	range	group
8000/0	Neoplasm, benign	800	Neoplasms, NOS
8000/0	Tumor, benign	800	Neoplasms, NOS
8000/0	Unclassified tumor, benign	800	Neoplasms, NOS
8000/1	Neoplasm, uncertain whether benign or malignant	800	Neoplasms, NOS
8000/1	Neoplasm, NOS	800	Neoplasms, NOS
8000/1	Tumor, NOS	800	Neoplasms, NOS
8000/1	Unclassified tumor, borderline malignancy	800	Neoplasms, NOS
8000/1	Unclassified tumor, uncertain whether benign or malignant	800	Neoplasms, NOS
8000/3	Neoplasm, malignant	800	Neoplasms, NOS
8000/3	Blastoma, NOS	800	Neoplasms, NOS
8000/3	Tumor, malignant, NOS	800	Neoplasms, NOS
8000/3	Cancer	800	Neoplasms, NOS
8000/3	Malignancy	800	Neoplasms, NOS
8000/3	Unclassified tumor, malignant	800	Neoplasms, NOS
8000/6	Neoplasm, metastatic	800	Neoplasms, NOS
8000/6	Neoplasm, secondary	800	Neoplasms, NOS
8000/6	Tumor embolus	800	Neoplasms, NOS
8000/6	Tumor, metastatic	800	Neoplasms, NOS
8000/6	Tumor, secondary	800	Neoplasms, NOS
8000/9	Neoplasm, malignant, uncertain whether primary or metastatic	800	Neoplasms, NOS
8000/9	Unclassified tumor, malignant, uncertain whether primary or metastatic	800	Neoplasms, NOS
8001/0	Tumor cells, benign	800	Neoplasms, NOS
8001/1	Tumor cells, uncertain whether benign or malignant	800	Neoplasms, NOS
8001/1	Tumor cells, NOS	800	Neoplasms, NOS
8001/3	Tumor cells, malignant	800	Neoplasms, NOS
8002/3	Malignant tumor, small cell type	800	Neoplasms, NOS
8003/3	Malignant tumor, giant cell type	800	Neoplasms, NOS
8004/3	Malignant tumor, spindle cell type	800	Neoplasms, NOS
8004/3	Malignant tumor, fusiform cell type	800	Neoplasms, NOS
8005/0	Clear cell tumor, NOS	800	Neoplasms, NOS
8005/3	Malignant tumor, clear cell type	800	Neoplasms, NOS
8010/0	Epithelial tumor, benign	801-804	Epithelial neoplasms, NOS
8010/2	Carcinoma in situ, NOS	801-804	Epithelial neoplasms, NOS
8010/2	Intraepithelial carcinoma, NOS	801-804	Epithelial neoplasms, NOS
8010/3	Carcinoma, NOS	801-804	Epithelial neoplasms, NOS
8010/3	Epithelial tumor, malignant	801-804	Epithelial neoplasms, NOS
8010/6	Carcinoma, metastatic, NOS	801-804	Epithelial neoplasms, NOS
8010/6	Secondary carcinoma	801-804	Epithelial neoplasms, NOS
8010/9	Carcinomatosis	801-804	Epithelial neoplasms, NOS
8011/0	Epithelioma, benign	801-804	Epithelial neoplasms, NOS
8011/3	Epithelioma, malignant	801-804	Epithelial neoplasms, NOS
8011/3	Epithelioma, NOS	801-804	Epithelial neoplasms, NOS
8012/3	Large cell carcinoma, NOS	801-804	Epithelial neoplasms, NOS
8013/3	Large cell neuroendocrine carcinoma	801-804	Epithelial neoplasms, NOS
8014/3	Large cell carcinoma with rhabdoid phenotype	801-804	Epithelial neoplasms, NOS
8015/3	Glassy cell carcinoma	801-804	Epithelial neoplasms, NOS
8020/3	Carcinoma, undifferentiated, NOS	801-804	Epithelial neoplasms, NOS
8021/3	Carcinoma, anaplastic, NOS	801-804	Epithelial neoplasms, NOS
8022/3	Pleomorphic carcinoma	801-804	Epithelial neoplasms, NOS
8023/3	Nuclear protein in testis (NUT) associated carcinoma	801-804	Epithelial neoplasms, NOS
8023/3	NUT carcinoma	801-804	Epithelial neoplasms, NOS
8023/3	NUT midline carcinoma	801-804	Epithelial neoplasms, NOS
8030/3	Giant cell and spindle cell carcinoma	801-804	Epithelial neoplasms, NOS
8031/3	Giant cell carcinoma	801-804	Epithelial neoplasms, NOS
8032/3	Spindle cell carcinoma, NOS	801-804	Epithelial neoplasms, NOS
8033/3	Pseudosarcomatous carcinoma	801-804	Epithelial neoplasms, NOS
8033/3	Sarcomatoid carcinoma	801-804	Epithelial neoplasms, NOS
8034/3	Polygonal cell carcinoma	801-804	Epithelial neoplasms, NOS
8035/3	Carcinoma with osteoclast-like giant cells	801-804	Epithelial neoplasms, NOS
8040/0	Tumorlet, benign	801-804	Epithelial neoplasms, NOS
8040/1	Tumorlet, NOS	801-804	Epithelial neoplasms, NOS
8041/3	Small cell carcinoma, NOS	801-804	Epithelial neoplasms, NOS
8041/3	Reserve cell carcinoma	801-804	Epithelial neoplasms, NOS
8041/3	Round cell carcinoma	801-804	Epithelial neoplasms, NOS
8041/3	Small cell carcinoma, pulmonary type	801-804	Epithelial neoplasms, NOS
8042/3	Oat cell carcinoma	801-804	Epithelial neoplasms, NOS
8043/3	Small cell carcinoma, fusiform cell	801-804	Epithelial neoplasms, NOS
8044/3	Small cell carcinoma, intermediate cell	801-804	Epithelial neoplasms, NOS
8045/3	Combined small cell carcinoma	801-804	Epithelial neoplasms, NOS
8045/3	Mixed small cell carcinoma	801-804	Epithelial neoplasms, NOS
8046/3	Non-small cell carcinoma	801-804	Epithelial neoplasms, NOS
8050/0	Papilloma, NOS	805-808	Squamous cell neoplasms
8050/2	Papillary carcinoma in situ	805-808	Squamous cell neoplasms
8050/3	Papillary carcinoma, NOS	805-808	Squamous cell neoplasms
8051/0	Verrucous papilloma	805-808	Squamous cell neoplasms
8051/3	Verrucous carcinoma, NOS	805-808	Squamous cell neoplasms
8051/3	Verrucous epidermoid carcinoma	805-808	Squamous cell neoplasms
8051/3	Verrucous squamous cell carcinoma	805-808	Squamous cell neoplasms
8052/0	Squamous cell papilloma, NOS	805-808	Squamous cell neoplasms
8052/0	Keratotic papilloma	805-808	Squamous cell neoplasms
8052/0	Squamous papilloma	805-808	Squamous cell neoplasms
8052/2	Papillary squamous cell carcinoma, non-invasive	805-808	Squamous cell neoplasms
8052/2	Papillary squamous cell carcinoma in situ	805-808	Squamous cell neoplasms
8052/3	Papillary squamous cell carcinoma	805-808	Squamous cell neoplasms
8052/3	Papillary epidermoid carcinoma	805-808	Squamous cell neoplasms
8053/0	Squamous cell papilloma, inverted	805-808	Squamous cell neoplasms
8054/0	Warty dyskeratoma	805-808	Squamous cell neoplasms
8054/3	Warty carcinoma	805-808	Squamous cell neoplasms
8054/3	Condylomatous carcinoma	805-808	Squamous cell neoplasms
8060/0	Squamous papillomatosis	805-808	Squamous cell neoplasms
8060/0	Papillomatosis, NOS	805-808	Squamous cell neoplasms
8070/0	Actinic keratosis	805-808	Squamous cell neoplasms
8070/2	Squamous cell carcinoma in situ, NOS	805-808	Squamous cell neoplasms
8070/2	Epidermoid carcinoma in situ, NOS	805-808	Squamous cell neoplasms
8070/2	Intraepidermal carcinoma, NOS	805-808	Squamous cell neoplasms
8070/2	Intraepithelial squamous cell carcinoma	805-808	Squamous cell neoplasms
8070/3	Squamous cell carcinoma, NOS	805-808	Squamous cell neoplasms
8070/3	Squamous cell carcinoma, usual type	805-808	Squamous cell neoplasms
8070/3	Epidermoid carcinoma, NOS	805-808	Squamous cell neoplasms
8070/3	Squamous carcinoma	805-808	Squamous cell neoplasms
8070/3	Squamous cell epithelioma	805-808	Squamous cell neoplasms
8070/6	Squamous cell carcinoma, metastatic, NOS	805-808	Squamous cell neoplasms
8071/2	Differentiated intraepithelial neoplasia	805-808	Squamous cell neoplasms
