code	term	range	group
8000/0	Neoplasm, benign	800	Neoplasms, NOS
8000/0	Tumor, benign	800	Neoplasms, NOS
8000/0	Unclassified tumor, benign	800	Neoplasms, NOS
8000/1	Neoplasm, uncertain whether benign or malignant	800	Neoplasms, NOS
8000/1	Neoplasm, NOS	800	Neoplasms, NOS
8000/1	Tumor, NOS	800	Neoplasms, NOS
8000/1	Unclassified tumor, borderline malignancy	800	Neoplasms, NOS
8000/1	Unclassified tumor, uncertain whether benign or malignant	800	Neoplasms, NOS
8000/3	Neoplasm, malignant	800	Neoplasms, NOS
8000/3	Blastoma, NOS	800	Neoplasms, NOS
8000/3	Tumor, malignant, NOS	800	Neoplasms, NOS
8000/3	Cancer	800	Neoplasms, NOS
8000/3	Malignancy	800	Neoplasms, NOS
8000/3	Unclassified tumor, malignant	800	Neoplasms, NOS
8000/6	Neoplasm, metastatic	800	Neoplasms, NOS
8000/6	Neoplasm, secondary	800	Neoplasms, NOS
8000/6	Tumor embolus	800	Neoplasms, NOS
8000/6	Tumor, metastatic	800	Neoplasms, NOS
8000/6	Tumor, secondary	800	Neoplasms, NOS
8000/9	Neoplasm, malignant, uncertain whether primary or metastatic	800	Neoplasms, NOS
8000/9	Unclassified tumor, malignant, uncertain whether primary or metastatic	800	Neoplasms, NOS
8001/0	Tumor cells, benign	800	Neoplasms, NOS
8001/1	Tumor cells, uncertain whether benign or malignant	800	Neoplasms, NOS
8001/1	Tumor cells, NOS	800	Neoplasms, NOS
8001/3	Tumor cells, malignant	800	Neoplasms, NOS
8002/3	Malignant tumor, small cell type	800	Neoplasms, NOS
8003/3	Malignant tumor, giant cell type	800	Neoplasms, NOS
8004/3	Malignant tumor, spindle cell type	800	Neoplasms, NOS
8004/3	Malignant tumor, fusiform cell type	800	Neoplasms, NOS
8005/0	Clear cell tumor, NOS	800	Neoplasms, NOS
8005/3	Malignant tumor, clear cell type	800	Neoplasms, NOS
8010/0	Epithelial tumor, benign	801-804	Epithelial neoplasms, NOS
8010/2	Carcinoma in situ, NOS	801-804	Epithelial neoplasms, NOS
8010/2	Intraepithelial carcinoma, NOS	801-804	Epithelial neoplasms, NOS
8010/3	Carcinoma, NOS	801-804	Epithelial neoplasms, NOS
8010/3	Epithelial tumor, malignant	801-804	Epithelial neoplasms, NOS
8010/6	Carcinoma, metastatic, NOS	801-804	Epithelial neoplasms, NOS
8010/6	Secondary carcinoma	801-804	Epithelial neoplasms, NOS
8010/9	Carcinomatosis	801-804	Epithelial neoplasms, NOS
8011/0	Epithelioma, benign	801-804	Epithelial neoplasms, NOS
8011/3	Epithelioma, malignant	801-804	Epithelial neoplasms, NOS
8011/3	Epithelioma, NOS	801-804	Epithelial neoplasms, NOS
8012/3	Large cell carcinoma, NOS	801-804	Epithelial neoplasms, NOS
8013/3	Large cell neuroendocrine carcinoma	801-804	Epithelial neoplasms, NOS
8014/3	Large cell carcinoma with rhabdoid phenotype	801-804	Epithelial neoplasms, NOS
8015/3	Glassy cell carcinoma	801-804	Epithelial neoplasms, NOS
8020/3	Carcinoma, undifferentiated, NOS	801-804	Epithelial neoplasms, NOS
8021/3	Carcinoma, anaplastic, NOS	801-804	Epithelial neoplasms, NOS
8022/3	Pleomorphic carcinoma	801-804	Epithelial neoplasms, NOS
8023/3	Nuclear protein in testis (NUT) associated carcinoma	801-804	Epithelial neoplasms, NOS
